Authors,Title,Year,Link,Abstract,Author Keywords
"Medina N.G., Est? Banez B.N.",Does spore ultrastructure mirror different dispersal strategies in mosses? a study of seven iberian orthotrichum species,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911894157&doi=10.1371%2fjournal.pone.0112867&partnerID=40&md5=2001ac58188d353b0bad7c0d12ec98f2,"Most mosses have xerochastic dispersal (i.e., they open their capsules when conditions are dry), which is thought to favor long-distance dispersal. However, there are several species that use a hygrochastic strategy: spores are dispersed when conditions are wet. The significance of this strategy in the Mediterranean region is unknown. In this study, we explored whether ultrastructural features related to differences in spore resistance may explain these different strategies of spore dispersal. To this end, we examined the ultrastructural features of the spores of seven closely related species in the moss genus Orthotrichum. These species all grow as epiphytes in sub-Mediterranean forests, and the group includes both xerochastic and hygrochastic members. First, we found that the spore wall layers exhibit several features previously undescribed in mosses. Second, we discovered that there are only subtle differences in spore ultrastructure with regards to spore wall thickness, the degree of plastid development, or the storage substances used. We suggest that the hygrochastic dispersal in mosses from Mediterranean environments might be related to a safe-site strategy, rather than to drought avoidance, and we underscore the necessity of conducting spore ultrastructural studies on a greater number of bryophyte species. 2014 Medina Est? banez. Funding: The experimental part has been partially self-funded, it also received support from the regional project ref. CCG10-UAM/AMB-5630 (UAM & Madrid). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",
"Licona F.M., Azpiroz-Leehan J., Medal E.G.U., Mendez M.C.",Biomedical Engineering curriculum at UAM-I: A critical review,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976591542&doi=10.1109%2fEMBC.2014.6943958&partnerID=40&md5=3c0a1de1c657cb1c21bb36acfe9aeb09,"The Biomedical Engineering (BME) curriculum at Universidad Aut?noma Metropolitana (UAM) has undergone at least four major transformations since the founding of the BME undergraduate program in 1974. This work is a critical assessment of the curriculum from the point of view of its results as derived from an analysis of, among other resources, institutional databases on students, graduates and their academic performance. The results of the evaluation can help us define admission policies as well as reasonable limits on the maximum duration of undergraduate studies. Other results linked to the faculty composition and the social environment can be used to define a methodology for the evaluation of teaching and the implementation of mentoring and tutoring programs. Changes resulting from this evaluation may be the only way to assure and maintain leadership and recognition from the BME community. ? 2014 IEEE.",
"Botova M.G., Romanovskaya Y.V., Namgaladze A.A.",Electron density height profiles calculated by the theoretical upper atmosphere model: Comparison with the empirical IRI model,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919755008&doi=10.1109%2fURSIGASS.2014.6929787&partnerID=40&md5=aacea1f1096e4efec2dcd69862e9fb48,We have compared the electron density height profiles calculated by the global numerical Upper Atmosphere Model with the empirical IRI-2007 and IRI-2012 model values. The comparison has been performed for two solar activity levels and different seasons. It is shown that the UAM results agree well at middle latitudes being closer to the IRI-2007 than to the IRI-2012 values. ? 2014 IEEE.,
"Martynenko O.V., Fomichev V.I., Semeniuk K., Beagley S.R., Ward W.E., McConnell J.C., Namgaladze A.A.",Physical mechanisms responsible for forming the 4-peak longitudinal structure of the 135.6nm ionospheric emission: First results from the Canadian IAM,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907275579&doi=10.1016%2fj.jastp.2014.08.014&partnerID=40&md5=99b4aee66884e025d1579c3ad46a910d,"The Canadian Ionosphere and Atmosphere Model (Canadian IAM or C-IAM) is a new project aimed at the development of whole atmosphere modeling capabilities in Canada. The first version of the C-IAM is comprised of the extended Canadian Middle Atmosphere (CMAM) and the Murmansk's Upper Atmosphere Model (UAM), currently coupled in a one-way manner. The model extends from the surface to the inner magnetosphere and is able to describe the impact on the upper atmosphere and ionosphere of self-consistently generated lower atmosphere dynamical variability. In the current study, the C-IAM has been used to investigate the physical mechanisms responsible for forming the 4-peak longitudinal structure of the 135.6. nm ionospheric emission observed by the IMAGE satellite over the tropics at 20:00 local time from March 20 to April 20, 2002. To perform this study, the C-IAM has been run for this whole observation period taking into account a realistic day-to-day variation in solar and geomagnetic activity. The 4-peak longitudinal structure produced by the model and averaged over the observation period is in a good agreement with the observations. Analysis of the model results suggests that the main mechanism for generating the longitudinal structure in the ionospheric emission after sunset is a modification of the ionospheric electric field in the E region caused in the course of the daytime by differences in the diurnal evolution of the zonal wind in different longitudinal sectors due to waves penetrating from the lower atmosphere. In agreement with the earlier findings, our study showed that this mechanism is driven mainly by the diurnal eastward propagating tide with zonal number 3. A small contribution to the formation of the 4-peak structure is also provided by longitudinal variations in meridional wind and neutral composition at the F2 layer altitudes. The 4 peaks being clearly visible in the monthly mean result are not, however, present every day. Day-to-day variability of both the diurnal wind evolution and geomagnetic activity can significantly modify the longitudinal structure of the ionospheric emission. ? 2014 Elsevier Ltd.",Atmosphere-ionosphere coupling; Ionospheric emission; Whole atmosphere modeling
"Panka I., Kereszt?ri A.",Assessment of the uncertainties of COBRA sub-channel calculations by using a PWR type rod bundle and the OECD NEA UAM and the PSBT benchmarks data,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908055625&doi=10.3139%2f124.110460&partnerID=40&md5=96ad80601bbc390a3087f284adba25d7,"The assessment of the uncertainties of COBRA-IIIC thermalhydraulic analyses of rod bundles is performed for a 5-by-5 bundle representing a PWR fuel assembly. In the first part of the paper the modeling uncertainties are evaluated in the term of the uncertainty of the turbulent mixing factor using the OECD NEA/NRC PSBT benchmark data. After that the uncertainties of the COBRA calculations are discussed performing Monte-Carlo type statistical analyses taking into account the modeling uncertainties and other uncertainties prescribed in the OECD NEA UAM benchmark specification. Both steady-state and transient cases are investigated. The target quantities are the uncertainties of the void distribution, the moderator density, the moderator temperature and the DNBR. We will see that - beyond the uncertainties of the geometry and the boundary conditions - it is very important to take into account the modeling uncertainties in case of bundle or sub-channel thermo-hydraulic calculations. ? Carl Hanser Verlag, M?nchen.",
"Tao Z., Wang Y., Wu Z., Hu J.",Rough approximation based decentralized bi-level model for the supply chain distribution problem,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894180834&doi=10.1007%2f978-3-642-40081-0_67&partnerID=40&md5=82846c13b94a716d142090867720cd02,"This paper considers a core enterprise-dominant supply chain distribution modeling problem under a fuzzy environment. In particular, the common benefit and mutual interact of the upstream and downstream enterprise in the supply chain is considered. Thus, a decentralized bi-level programming model is constructed. To deal with the fuzzy parameters in the objective functions, an expected value operation based on Me is employed. As to the feasible region with fuzzy coefficient, a similarity relation based on the fuzzy measure Pos is defined, based on which, the rough approximation method is adopted. Then, two rough approximation models (UAM and LAM) is developed. To solve the two models, a rough simulation is developed, after which the fuzzy interactive programming and genetic algorithm can be adopted to find the solutions. ? Springer-Verlag Berlin Heidelberg 2014.",Decentralized bi-level programming; Fuzzy environment; Rough approximation; Rough simulation; Supply chain
"Molins-Ruano P., Borrego-Gallardo F., Sevilla C., Jurado F., Rodriguez P., Sacha G.M.",Constructing quality test with e-valUAM,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946690584&doi=10.1109%2fSIIE.2014.7017729&partnerID=40&md5=1b97f0548127b43030bcc08366fd5d3f,"In this work, we develop a formalism based on test construction by the eval-UAM tool. This process aims to improve the quality of the assessment process by taking into account the relevance of the items. The method uses students' answers to follow different paths to improve the accuracy of the assessment process. By using this method, we improve the objectiveness and take into account the relevance of the subject contents. The method also includes a complete analysis of the individual items that, for example, can be used to discriminate the ones that are not correctly formulated or, alternatively, to detect subjects that are not correctly explained to the students in the learning process. The method is implemented in the e-valUAM application and can be directly used in computer-assisted tests for different subjects and disciplines, or as a self-evaluation tool with the objective of correcting students' deficiencies in the learning process. ? 2014 IEEE.",adaptive assessment; e-learning; test eluation
"Garc?a-Herranz N., Garrido J., Cabellos O.",Sensitivity/uncertainty analysis for bwr configurations of exercise i-2 of uam benchmark,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105469303&partnerID=40&md5=bd03b5a9e39e813f45d285e85c7bff6e,"In order to evaluate the uncertainties in prediction of lattice-Averaged parameters, input data of core neutronics codes, Exercise I-2 of the OECD benchmark for uncertainty analysis in modeling (UAM) was proposed. This work aims to perform a sensitivity/uncertainty analysis of the BWR configurations defined in the benchmark for the purpose of Exercise I-2. Criticality calculations are done for a 7x7 BWR fresh fuel assembly at HFP in four configurations: single unrodded fuel assembly, rodded fuel assembly, assembly/reflector and assembly in a color-set. The SCALE6.1 code package is used to propagate cross section covariance data through lattice physics calculations to both k-effective and two-group assembly-homogenized cross sections uncertainties. Computed sensitivities and uncertainties for all configurations are analyzed and compared. It was found that uncertainties are very similar for the four test-problems, showing that the influence of the assembly environment on uncertainty prediction is very small. ? 2014 Westinghouse Electric Company LLC. All Rights Reserved.",few-group homogenized cross section uncertainties; lattice physics uncertainty propagation; sensitivity/uncertainty analysis
"Santamarina A., Blaise P., Dos Santos N., Vaglio C., De Saint-Jean C.",Nuclear data uncertainty propagation on power maps in large lwr cores,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105414498&partnerID=40&md5=4f69a555a5848a7a16a72a134eda387f,"Nuclear data uncertainty propagation is more and more required in safety calculations of large NPP cores. In this study, nuclear data uncertainties have been propagated to LWR cores using accurate transport calculations. PWR benchmarks representative of the French NPP fleet were selected: one 900MWe (Fessenheim), one 1500MWe (CHOOZ), as two complementary GEN-III benchmarks belonging to the OECD/UAM benchmark, representative of large PWR UOX and partially loaded-MOX cores surrounded by thick stainless steel reflector. Reactivity and assembly power map sensitivity coefficients to multigroup cross sections have been calculated using perturbation theory tools implemented in ERANOS2/SNATCH transport code. Different sources of nuclear data uncertainty were compared: covariance matrices from BOLNA, and French COMAC associated to JEFF3.1.1 evaluations, were used for uncertainty propagation. The total uncertainty on the multiplication factor keff is not sensitive to the size and the loading of the PWR cores; this uncertainty amounts to 560pcm (1s) with COMAC, compared to 780 pcm with BOLNA covariances. The main component of keff uncertainty is U235, followed by 238U capture, sc U235 and sf U235. The uncertainty on the radial power map increases with the core size, due to higher Eigen Value Separation factor (EVS>20). For example, using COMAC covariances, the uncertainty in central assemblies increases from 1.5% for PWR-900MWe to 3.4% for large N4 and GEN-III PWRs. In the peripheral assemblies which can host the power peak, the uncertainty increases from 1.1% for 900MWe to 2% for large PWRs. Therefore, the potential power swing bias in JEFF3.1.1 core calculations varies from 2.6% for PWR-900MWe to 5-6% for N4 and large GEN-III PWRs. Using BOLNA covariance files, the uncertainty on the Pcentre/Pperiph power ratio amounts to 10% (5% with COMAC) for GEN-III PWR core, and up to 24% in the Gen-III MOX benchmark (12% with COMAC). Our powerful deterministic calculation scheme allowed the decomposition of the LWR parameter uncertainty in isotopic partial cross-section components. The main contributor to the power uncertainty is the 238U inelastic scattering: 3% and 5%, respectively for COMAC and BOLNA, in GEN-III central assemblies. However, 16O and 1H elastic scattering cross-sections should be also validated and improved in order to reduce their individual 1%-2% current contribution to the central power uncertainty. ? Proceedings of the International Conference on Physics of Reactors, PHYSOR 2014. All right reserved.",Power map; PWR large core; Sensitivity; Uncertainty propagation
"Avramova M.N., Ivanov K.N., Royer E., Yamaji A., Gilford J.",Summary and Status of Oecd/Nea Uam-Lwr Benchmark,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105305866&partnerID=40&md5=a3eb6e8ad16bd9fa7d43643eb3ddd273,"In recent years there has been an increasing demand from nuclear research, industry, safety and regulation for best estimate predictions to be provided with their confidence bounds. Consequently OECD/NEA has initiated an international Uncertainty Analysis in Modeling (UAM) benchmark focused on uncertainty analysis in best-estimate coupled code calculations for design, operation, and safety analysis of LWRs. The title of this benchmark is: ""Benchmarks for uncertainty analysis in modelling (UAM) for the design, operation and safety analysis of LWRs"", or often referred to as ""OECD/NEA UAM-LWR Benchmark"". Reference systems and scenarios for coupled code analysis are defined to study the uncertainty effects for all stages of the system calculations. Measured data from plant operation are available for the chosen scenarios. The general frame of the OECD/NEA UAM LWR benchmark consists of three phases with different exercises for each phase. This paper summarizes the benchmark activity and discusses the status of each phase and exercise. Selected results are shown to illustrate the technical approach in defining different exercises and findings from benchmark analysis. For the first time this benchmarks aims to determine the uncertainty in LWR system calculations at all stages of a coupled reactor physics/thermal-hydraulics/fuel performance calculation. The full chain of uncertainty propagation from basic data, engineering uncertainties, across different scales (multi-scale), and physics phenomena (multi-physics) are tested on a number of benchmark exercises for which experimental data are available and for which the power plant details have been released. As part of this effort, the development and assessment of different methods or techniques to account for the uncertainties in the calculations are investigated and reported, which contributes to the state-of-The-Art in this area. ? Proceedings of the International Conference on Physics of Reactors, PHYSOR 2014. All right reserved.",benchmark exercises; best-estimate coupled computation; Uncertainty analysis
