Authors,Title,Year,Link,Abstract,Author Keywords
"Singh A., Lodge A., Li Y., Widanage W.D., Barai A.","A new method to perform lithium-ion battery pack fault diagnostics – Part 3: Adaptation for fast charging",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153566560&doi=10.1016%2fj.est.2023.107424&partnerID=40&md5=986bbc2412999e42c0ec171878aa3309","Electric Vertical Take-Off and Landing (eVTOL) aircraft are expected to become ubiquitous in the future Urban Air Mobility (UAM) landscape. Several eVTOL aircraft propelled using Lithium-ion batteries are under development. However, despite the early spotlight, the manufacturers need to ensure safe long-term operation of the vehicles including strict checks on battery-related hazards. On the other hand, fast charging of eVTOL batteries is crucial to enable multiple flights per day and justify the economics of UAM. This work is aimed at contextualising battery safety for eVTOL through the modification of a battery fault diagnosis algorithm for fast charging. The algorithm was developed in Parts 1 and 2 of the paper to use the charging cycle data for detecting disconnection faults but tested only for low charging currents. This paper adapts the algorithm for fast charging through a novel technique termed as Partial Incremental Capacity (PIC). The PIC method was developed using experiments at single cell and supercell level before integrating it into the algorithm. Finally, the fault detection ability of the adapted algorithm was validated using a real-life eVTOL battery module. Thus, the updated version of the algorithm facilitates fault diagnosis while charging fast, making it ideal for implementation in eVTOL. © 2023 The Authors","Electric aircraft; eVTOL; Fast charging; Fault diagnosis; Incremental capacity; Li-ion batteries"
"Wang S., Zhai Y., Zhan X.","Implementation of solution separation-based Kalman filter integrity monitoring against all-source faults for multi-sensor integrated navigation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152584506&doi=10.1007%2fs10291-023-01423-7&partnerID=40&md5=73f27d77c182735711659bf770e2b506","Accurate and safety-assured navigation is demanded by future autonomous systems such as automated vehicles and urban air mobility (UAM). These systems usually integrate multiple sensors to improve navigation accuracy and require the corresponding integrity monitoring architecture to ensure integrity. In response, we implement the Solution Separation-based Kalman filter integrity monitoring (SS-KFIM) technique to achieve fault detection and protection level evaluation for multi-sensor integrated navigation. In our implementation, the filter bank management strategies to handle sensor-in and sensor-out events are discussed. Besides, we consider the faults in state initialization and propagation phases aside from those at the measurement-update stage. Furthermore, our implementation can accommodate the cases where the all-in-view filter is not optimal in a least-squares sense. Simulations are conducted with an illustrative example where an inertial navigation system, global navigation satellite systems, and visual odometry are integrated for a UAM task. The results prove the high effectiveness and extended applicability of our implementation of the SS-KFIM algorithm. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Integrity monitoring; Kalman filter; Multi-sensor integrated navigation; Solution separation"
"Ariza-Montes A., Quan W., Radic A., Koo B., Kim J.J., Chua B.-L., Han H.","nderstanding the behavioral intention to use urban air autonomous vehicles",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149435925&doi=10.1016%2fj.techfore.2023.122483&partnerID=40&md5=10a57c4519873ea0bcaf4b807ba4ce55","In the following years, Urban Air Mobility (UAM) will transform the transport industry. Researching the intention to use air vehicles is not easy, as it is a new mode of transport that has not yet been implemented, so there are no available observed data. This fact is why the many gaps and uncertainties remain unexplored in academic research on this topic. The most critical issues for the successful implementation of a UAM transport system is public acceptance and user adoption. Based on technology adoption theories, this paper investigates critical constructs in generating usage intention to use urban air autonomous vehicles (UAAVs) and the mediator role of pro-environmental behavior and human values in this relationship. Covariance-based structural equation modeling (CB-SEM) was used with a sample from the US and China. The results confirm that attitudes, performance expectancy, and social influence reinforce the intention to use UAAVs, while anxiety reduces it. The UAAV acceptance model is very similar between the Chinese and US populations. The only difference between the two samples is that social influence has a positive and significant effect on intention to use among US people. At the same time, this variable is not essential in the Chinese sample. © 2023 Elsevier Inc.","Covariance-based structural equation modeling; Human values; Intention to use; Pro-environmental behavior; Urban air autonomous vehicles"
"Yeo H., Lee S.","Impact of heterogeneous building arrangement on local turbulence escalation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152928507&doi=10.1016%2fj.buildenv.2023.110217&partnerID=40&md5=afa403405d30c5c1f39c141420d6a8fa","Turbulent wakes and the recirculatory flow induced by building arrays subjected to an atmospheric boundary layer flow were numerically studied to investigate the building arrangement impact on the urban air mobility (UAM) service. To mimic the atmospheric flow with realism, large-eddy simulation was employed along with an immersed boundary method to construct the presence of the building arrays. Four cases were studied which included an array of three high-rise buildings and three other combinations of high-rise and low-rise building arrays. Horseshoe vortex and recirculation flows were found in all building configurations whose intensity varied according to the upstream building height. In particular, the clockwise-rotating vortex was found to be dominant within the cavity between the buildings. In addition, the lateral vortex generated by the side walls of the non-uniform array tilted outward due to the secondary flow formed by the wake of the building, which additionally contributed to the downwash flow behind the building array. Elevated velocity fluctuations were found on top of and behind the high-rise buildings which persisted further downstream in parallel with the freestream flow. The largest velocity standard deviation was found to be 3.8 times that of the inflow which was due to the combination of flow recirculation and the wake from the further upstream building. Finally, the velocity spectra were analyzed to provide reference data for the deployment of vertiports and the UAM take-off and landing guidance. © 2023","Atmospheric boundary layer; Building arrangement; Large eddy simulation; Urban air mobility"
"Husemann M., Lahrs L., Stumpf E.","The impact of dispatching logic on the efficiency of Urban Air Mobility operations",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148020395&doi=10.1016%2fj.jairtraman.2023.102372&partnerID=40&md5=3a0b4f780bdc703b4f21900be531c791","The application of electrified propulsion systems is expected to facilitate the future operation of small aircraft in urban and suburban areas. However, in addition to the safe design of vehicles, efficient operation must also be achieved by matching passenger requests to unoccupied and suitable vehicles. In the agent-based transportation simulation MATSim (Multi-Agent Transport Simulation), a rule-based approach has been followed by assigning the nearest available vehicle to each passenger request. Sophisticated considerations such as pooling multiple passengers with identical trip requests in terms of time and location or the urgency of a request were only partially considered or not considered at all. To decrease operating costs, especially by reducing the number of passenger flights and avoiding relocation flights, appropriate dispatching is essential for efficient assignment of available vehicles to trip requests. For this purpose, the suitability of the Bipartite Matching Dispatcher (BMD), already proven for ground-based on-demand mobility concepts, was investigated for application to UAM systems by demonstrating its performance on an existing data set using a mock-up simulation and comparing it to the initial dispatcher in MATSim. Studies have not only shown the similarity between UAM and ground-based on-demand operations, but also the compatibility of BMD for high load traffic scenarios with undersized fleets. Insights on the impact of available information, for example, the prioritization of early-submitted requests over urgent requests, on the operator's point of view can be concluded. For an efficient vehicle assignment, the consideration of passengers’ attitude towards possible comfort restrictions due to longer waiting times and incentives through price adjustments is of crucial importance. © 2023 Elsevier Ltd","Dispatching; Transportation simulation; Urban air mobility; Vehicle assignment"
"Zeng J., Zhong H., Wang Y., Fan S., Zhang H.","Autonomous control design of an unmanned aerial manipulator for contact inspection",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146666994&doi=10.1017%2fS0263574722001588&partnerID=40&md5=a40feb42f0f2bcba955c808875eab83e","In recent years, autonomous control based on contact inspections in unknown environments is a new hot and difficult point in robotics research. This paper presents a new control law for unmanned aerial manipulator (UAM) to perform contact inspection tasks on vertical surfaces. The selected circular image feature decouples the position and attitude of UAM, so an image-based impedance control is proposed to control the position and track the contact force. The developed controller uses geometric methods to control the attitude. In addition, the designed aerial manipulator decouples the roll and pitch of the UAV from the UAV, which improves the system's stability. Experiments have been carried out to demonstrate the feasibility of this method. © The Author(s), 2022. Published by Cambridge University Press.","aerial manipulation; force tracking; geometric control; impedance control; visual servo"
"Hearn T.A., Herniczek M.T.K., German B.J.","Conceptual Framework for Dynamic Optimal Airspace Configuration for Urban Air Mobility",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153706066&doi=10.2514%2f1.D0327&partnerID=40&md5=020ef1723f751916ea2683bf838273c2","In this work, a framework for optimizing the configuration of service areas in airspace into disparate partitions is demonstrated in the context of urban air mobility (UAM) operations. This framework is applied to a conceptual UAM airspace configuration, where a free-flight-based routing service and a corridor-based routing service are dynamically allocated to control different portions of the airspace over time, based on traffic demand. This allocation seeks to determine the least amount of structured coordination (in terms of active flight corridors) needed to safely meet traffic demand. This framework integrates several modeling components, including a novel spatiotemporal graph theoretic UAM traffic model capable of optimizing vehicle trajectories while maintaining multiple flight constraints. Airspace complexity and trajectory efficiency metrics are both implemented to quantify the overall safety and cumulative cost of routing a set of missions according to a given airspace configuration. Finally, spatial airspace partitions are managed using a support vector machine-based algorithm. Metrics are then applied to optimize the airspace configurations, according to desired objectives. Simulated results show that this framework can produce airspace configurations that ensure safety, while providing trajectory efficiency more effectively than purely uniform free-flight or corridor-based flight. This is demonstrated for both low-and high-density traffic scenarios. © 2023, AIAA International. All rights reserved.",
"Park H.J., Cho J.Y.","Establishment of DeCART/MIG stochastic sampling code system and Application to UAM and BEAVRS benchmarks",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151830187&doi=10.1016%2fj.net.2023.02.027&partnerID=40&md5=a8d9cf8c764a3ba9ab4042060e83514b","In this study, a DeCART/MIG uncertainty quantification (UQ) analysis code system with a multi-correlated cross section stochastic sampling (S.S.) module was established and verified through the UAM (Uncertainty Analysis in Modeling) and the BEAVRS (Benchmark for Evaluation And Validation of Reactor Simulations) benchmark calculations. For the S.S. calculations, a sample of 500 DeCART multi-group cross section sets for two major actinides, i.e., 235U and 238U, were generated by the MIG code and covariance data from the ENDF/B-VII.1 evaluated nuclear data library. In the three pin problems (i.e. TMI-1, PB2, and Koz-6) from the UAM benchmark, the uncertainties in kinf by the DeCART/MIG S.S. calculations agreed very well with the sensitivity and uncertainty (S/U) perturbation results by DeCART/MUSAD and the S/U direct subtraction (S/U-DS) results by the DeCART/MIG. From these results, it was concluded that the multi-group cross section sampling module of the MIG code works correctly and accurately. In the BEAVRS whole benchmark problems, the uncertainties in the control rod bank worth, isothermal temperature coefficient, power distribution, and critical boron concentration due to cross section uncertainties were calculated by the DeCART/MIG code system. Overall, the uncertainties in these design parameters were less than the general design review criteria of a typical pressurized water reactor start-up case. This newly-developed DeCART/MIG UQ analysis code system by the S.S. method can be widely utilized as uncertainty analysis and margin estimation tools for developing and designing new advanced nuclear reactors. © 2023 Korean Nuclear Society","BEAVRS; Cross section sampling; DeCART; MIG; Stochastic sampling; UAM; Uncertainty quantification"
"Simoneau T.","Airspace Ownership Controversies in the United States: A Concise History",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152035101&partnerID=40&md5=9d412fface40a4ce005f6d5ca1bdd384","Ownership and control of airspace has long been a controversial, confusing, and difficult area of study within aviation law. Throughout the twentieth century, there was copious debate surrounding the rights of property owners and the authority of aviation regulatory agencies to govern airspace. The invention of the airplane and a burgeoning concern about aerial trespass vigorously fueled that debate. In the contemporary context, airspace ownership questions center primarily on debates over low-altitude airspace and subsequent legal remedies available for improper use, illegal entrance, or unwanted occupation of that airspace. This review examines the history of airspace ownership controversies in the United States through an analysis of legal cases, scholarly debates, academic journal articles, and primary sources. The purpose of this paper is to assist aviation scholarly and industry personnel in forming a better understanding of the historical and contemporary debates that have surrounded the question of airspace rights. It is a particularly meaningful time to review this area of aviation legal history because the advent of novel aviation technologies—namely, drones, Urban Air Mobility (UAM), and Advanced Air Mobility (AAM) air taxis—is creating an industry ripe for new airspace ownership and control controversies in the coming decades. © 2023, University Aviation Association. All rights reserved.",
"Yavas V., Yavaş Tez Ö.","Consumer intention over upcoming utopia: Urban air mobility",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144080444&doi=10.1016%2fj.jairtraman.2022.102336&partnerID=40&md5=888a90d8c01633de080b41a37a4936b1","This study investigates the factors affecting users' acceptance of urban air mobility (UAM) systems, constructing a proposed theoretical urban air mobility acceptance and usage model (UAM-AUM). In this context, we posit that intention to fly, UAM conceptual intention, environmental consciousness, UAM affordability, general reliability and perceived usefulness variables are key determinants for behavioural intention to use. Using the UAM-AUM scale we apply structural equation modelling analysis for model validation based on data collected from 348 participants and the results strongly support the proposed model. Perceived usefulness is found to be the strongest determinant of user behavioural intention and mediates the effects of UAM acceptance, influencing the intention to use the system along with other variables. Another critical factor for promoting consumers’ positive intentions towards UAM system use is general reliability. The findings provide practical guidance for designing strategic interventions to improve public acceptance of UAM systems. © 2022 Elsevier Ltd","Consumer behaviour; Flying car; Recreation; Urban air mobility"
