Authors,Title,Year,Link,Abstract,Author Keywords
"Singh A., Lodge A., Li Y., Widanage W.D., Barai A.","A new method to perform lithium-ion battery pack fault diagnostics – Part 3: Adaptation for fast charging",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153566560&doi=10.1016%2fj.est.2023.107424&partnerID=40&md5=986bbc2412999e42c0ec171878aa3309","Electric Vertical Take-Off and Landing (eVTOL) aircraft are expected to become ubiquitous in the future Urban Air Mobility (UAM) landscape. Several eVTOL aircraft propelled using Lithium-ion batteries are under development. However, despite the early spotlight, the manufacturers need to ensure safe long-term operation of the vehicles including strict checks on battery-related hazards. On the other hand, fast charging of eVTOL batteries is crucial to enable multiple flights per day and justify the economics of UAM. This work is aimed at contextualising battery safety for eVTOL through the modification of a battery fault diagnosis algorithm for fast charging. The algorithm was developed in Parts 1 and 2 of the paper to use the charging cycle data for detecting disconnection faults but tested only for low charging currents. This paper adapts the algorithm for fast charging through a novel technique termed as Partial Incremental Capacity (PIC). The PIC method was developed using experiments at single cell and supercell level before integrating it into the algorithm. Finally, the fault detection ability of the adapted algorithm was validated using a real-life eVTOL battery module. Thus, the updated version of the algorithm facilitates fault diagnosis while charging fast, making it ideal for implementation in eVTOL. © 2023 The Authors","Electric aircraft; eVTOL; Fast charging; Fault diagnosis; Incremental capacity; Li-ion batteries"
"Wang S., Zhai Y., Zhan X.","Implementation of solution separation-based Kalman filter integrity monitoring against all-source faults for multi-sensor integrated navigation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152584506&doi=10.1007%2fs10291-023-01423-7&partnerID=40&md5=73f27d77c182735711659bf770e2b506","Accurate and safety-assured navigation is demanded by future autonomous systems such as automated vehicles and urban air mobility (UAM). These systems usually integrate multiple sensors to improve navigation accuracy and require the corresponding integrity monitoring architecture to ensure integrity. In response, we implement the Solution Separation-based Kalman filter integrity monitoring (SS-KFIM) technique to achieve fault detection and protection level evaluation for multi-sensor integrated navigation. In our implementation, the filter bank management strategies to handle sensor-in and sensor-out events are discussed. Besides, we consider the faults in state initialization and propagation phases aside from those at the measurement-update stage. Furthermore, our implementation can accommodate the cases where the all-in-view filter is not optimal in a least-squares sense. Simulations are conducted with an illustrative example where an inertial navigation system, global navigation satellite systems, and visual odometry are integrated for a UAM task. The results prove the high effectiveness and extended applicability of our implementation of the SS-KFIM algorithm. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Integrity monitoring; Kalman filter; Multi-sensor integrated navigation; Solution separation"
"Chrit M.","Reconstructing urban wind flows for urban air mobility using reduced-order data assimilation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151417775&doi=10.1016%2fj.taml.2023.100451&partnerID=40&md5=b204fdf373981934f9ec95a06af63c84","Advancements in uncrewed aircrafts and communications technologies have led to a wave of interest and investment in unmanned aircraft systems (UASs) and urban air mobility (UAM) vehicles over the past decade. To support this emerging aviation application, concepts for UAS/UAM traffic management (UTM) systems have been explored. Accurately characterizing and predicting the microscale weather conditions, winds in particular, will be critical to safe and efficient operations of the small UASs/UAM aircrafts within the UTM. This study implements a reduced order data assimilation approach to reduce discrepancies between the predicted urban wind speed with computational fluid dynamics (CFD) Reynolds-averaged Navier Stokes (RANS) model with real-world, limited and sparse observations. The developed data assimilation system is UrbanDA. These observations are simulated using a large eddy simulation (LES). The data assimilation approach is based on the time-independent variational framework and uses space reduction to reduce the memory cost of the process. This approach leads to error reduction throughout the simulated domain and the reconstructed field is different than the initial guess by ingesting wind speeds at sensor locations and hence taking into account flow unsteadiness in a time when only the mean flow quantities are resolved. Different locations where wind sensors can be installed are discussed in terms of their impact on the resulting wind field. It is shown that near-wall locations, near turbulence generation areas with high wind speeds have the highest impact. Approximating the model error with its principal mode provides a better agreement with the truth and the hazardous areas for UAS navigation increases by more than 10% as wind hazards resulting from buildings wakes are better simulated through this process. © 2023 The Author(s)","Computational Fluid Dynamics; Data Assimilation; Model Reduction; Principal Component Analysis; Urban Air Mobility; Variational Data Assimilation"
"Lee H., Jang J.-U., Kim J., Sang Kim Y., Cho J., Na Kim M., Tae Lee J., Hyuk Choi W., Man Song J., June Song W., Hui Won D., Woo Yun D., Hun Kim S., Kim M., Yun Kim S.","True self-reinforced composites enabled by tuning of molecular structure for lightweight structural materials in future mobility",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152967482&doi=10.1016%2fj.cej.2023.142996&partnerID=40&md5=545c4feb52e89fc00acda019a3074a86","The development of vehicle bodies based on lightweight structural composites is urgently required to upgrade electric cars and to commercialize urban air mobility. Self-reinforced composites (SRCs) are attracting attention due to their advantages in terms of price, lightness, disposal and recycling compared to carbon fiber-reinforced polymers (CFRPs). In this study, a new concept for 100% polypropylene (PP) SRC was proposed to simultaneously improve the adhesive, tensile and impact properties of SRCs without undermining the advantages of SRCs. For this implementation, a facile engineering strategy using quad screw extrusion (QSE) capable of generating high shear stress was employed to modify the melting temperature and impregnation properties of the PP matrix via controlling polymer chain structure. As the screw rotation speed of QSE increased, low molecular weight polymer chains with uniform chain lengths were prepared, which led to a decrease in the melting temperature of the PP matrix and an increase in the flowability and impregnation property of the matrix. Using this strategy, the adhesive strength, tensile strength and impact resistance of the optimized SRC improved by 333%, 228%, and 2700%, respectively. Racing drone flight experiments with the SRC and CFRP frames illustrated the advantages of the SRC frame such as the increase of the flight time due to low density of the SRC, the excellent impact resistant characteristics (which improves user safety), and the superior electrical insulation properties suitable for frequency transmission and reception. Therefore, the proposed SRC can be an ideal choice as a lightweight structural material for future mobility. © 2023 Elsevier B.V.","Drone; Future mobility; Lightweight structural material; Self-reinforced composite"
"Askarzadeh T., Bridgelall R., Tolliver D.D.","Systematic Literature Review of Drone Utility in Railway Condition Monitoring",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151686942&doi=10.1061%2fJTEPBS.TEENG-7726&partnerID=40&md5=48775dae5b5eea90f1a6b79b7916a4b1","Drones have recently become a new tool in railway inspection and monitoring (RIM) worldwide, but there is still a lack of information about the specific benefits and costs. This study conducts a systematic literature review (SLR) of the applications, opportunities, and challenges of using drones for RIM. The SLR technique yielded 47 articles filtered from 7,900 publications from 2014 to 2022. The SLR found that key motivations for using drones in RIM are to reduce costs, improve safety, save time, improve mobility, increase flexibility, and enhance reliability. Nearly all the applications fit into the categories of defect identification, situation assessment, rail network mapping, infrastructure asset monitoring, track condition monitoring, and obstruction detection. The authors assess the open technical, safety, and regulatory challenges. The authors also contribute a cost analysis framework, identify factors that affect drone performance in RIM, and offer implications for new theories, management, and impacts to society. © 2023 American Society of Civil Engineers.","Railroad track obstructions; Railway defect identification; Railway track geometry; Remote sensing; Unmanned aerial vehicles; Urban air mobility"
"Chan Y.Y., Ng K.K.H., Lee C.K.M., Hsu L.-T., Keung K.L.","Wind dynamic and energy-efficiency path planning for unmanned aerial vehicles in the lower-level airspace and urban air mobility context",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151654317&doi=10.1016%2fj.seta.2023.103202&partnerID=40&md5=a8c747db2f1d6dc978a06169c2f9b2ce","Unmanned aerial vehicles (UAVs) have been extensively used in urban environments for logistics, parcel delivery and surveillance, and the development of air taxi services. Given the dynamic nature of urban air mobility in terms of decision-making time limit, wind dynamics and other external factors, one should consider their safe and efficient operations in an urban context. Therefore, we propose an energy-efficient path-planning model for UAVs under large and complex urban environments and wind dynamics. The proposed method adopted Voronoi Diagram to decompose the complex urban environment into a simplified network model, given the presence of no-fly zones and restricted areas as obstacles. One could obtain the feasible initial path by solving the network model using the Dijkstra shortest path algorithm concerning the distance matrix. Given the nonlinearity of energy consumption along a path. We further model the UAV energy consumption and propose an efficient particle swarm optimisation (PSO) metaheuristic algorithm to achieve better solution quality. Compared to traditional PSO, the proposed algorithm achieved a 5% to 22% improvement under different wind scenarios by simulating real-life situations. In conclusion, the proposed method can achieve safe UAV operations with sufficient separation and less energy consumption. © 2023 Elsevier Ltd","Dynamic wind turbulence and disturbance; Energy efficiency; Path planning; Unmanned aerial vehicle; Urban air mobility; Wind dynamic"
"Bridgelall R., Askarzadeh T., Tolliver D.D.","Introducing an efficiency index to evaluate eVTOL designs",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150922104&doi=10.1016%2fj.techfore.2023.122539&partnerID=40&md5=d2d14cb727de359ba168bd3d9bd31364","The evolution of electric vertical takeoff and landing (eVTOL) aircraft as part of the Advanced Air Mobility initiative will affect our society and the environment in fundamental ways. Technological forecasting suggests that commercial services are fast emerging to transform urban and regional air mobility for people and cargo. However, the complexities of diverse design choices pose a challenge for potential adopters or service providers because there are no objective and simple means to compare designs based on the available set of performance specifications. This analysis defines an aeronautically informed propulsion efficiency index (PEX) to compare the performance of eVTOL designs. Range, payload ratio, and aspect ratio are the minimum set of independent parameters needed to compute a PEX that can distinguish among eVTOL designs. The distribution of the PEX and the range are lognormal in the design space. There is no association between PEX values and the mainstream eVTOL architecture types or the aircraft weight class. A multilinear regression showed that the three independent parameters explained >90 % of the PEX distribution in the present design space. © 2023 Elsevier Inc.","Advanced air mobility; Aerodynamic efficiency; Multilinear regression; Regional air mobility; Smart cities; Urban air mobility"
"Ariza-Montes A., Quan W., Radic A., Koo B., Kim J.J., Chua B.-L., Han H.","nderstanding the behavioral intention to use urban air autonomous vehicles",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149435925&doi=10.1016%2fj.techfore.2023.122483&partnerID=40&md5=10a57c4519873ea0bcaf4b807ba4ce55","In the following years, Urban Air Mobility (UAM) will transform the transport industry. Researching the intention to use air vehicles is not easy, as it is a new mode of transport that has not yet been implemented, so there are no available observed data. This fact is why the many gaps and uncertainties remain unexplored in academic research on this topic. The most critical issues for the successful implementation of a UAM transport system is public acceptance and user adoption. Based on technology adoption theories, this paper investigates critical constructs in generating usage intention to use urban air autonomous vehicles (UAAVs) and the mediator role of pro-environmental behavior and human values in this relationship. Covariance-based structural equation modeling (CB-SEM) was used with a sample from the US and China. The results confirm that attitudes, performance expectancy, and social influence reinforce the intention to use UAAVs, while anxiety reduces it. The UAAV acceptance model is very similar between the Chinese and US populations. The only difference between the two samples is that social influence has a positive and significant effect on intention to use among US people. At the same time, this variable is not essential in the Chinese sample. © 2023 Elsevier Inc.","Covariance-based structural equation modeling; Human values; Intention to use; Pro-environmental behavior; Urban air autonomous vehicles"
"Yeo H., Lee S.","Impact of heterogeneous building arrangement on local turbulence escalation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152928507&doi=10.1016%2fj.buildenv.2023.110217&partnerID=40&md5=afa403405d30c5c1f39c141420d6a8fa","Turbulent wakes and the recirculatory flow induced by building arrays subjected to an atmospheric boundary layer flow were numerically studied to investigate the building arrangement impact on the urban air mobility (UAM) service. To mimic the atmospheric flow with realism, large-eddy simulation was employed along with an immersed boundary method to construct the presence of the building arrays. Four cases were studied which included an array of three high-rise buildings and three other combinations of high-rise and low-rise building arrays. Horseshoe vortex and recirculation flows were found in all building configurations whose intensity varied according to the upstream building height. In particular, the clockwise-rotating vortex was found to be dominant within the cavity between the buildings. In addition, the lateral vortex generated by the side walls of the non-uniform array tilted outward due to the secondary flow formed by the wake of the building, which additionally contributed to the downwash flow behind the building array. Elevated velocity fluctuations were found on top of and behind the high-rise buildings which persisted further downstream in parallel with the freestream flow. The largest velocity standard deviation was found to be 3.8 times that of the inflow which was due to the combination of flow recirculation and the wake from the further upstream building. Finally, the velocity spectra were analyzed to provide reference data for the deployment of vertiports and the UAM take-off and landing guidance. © 2023","Atmospheric boundary layer; Building arrangement; Large eddy simulation; Urban air mobility"
"Husemann M., Lahrs L., Stumpf E.","The impact of dispatching logic on the efficiency of Urban Air Mobility operations",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148020395&doi=10.1016%2fj.jairtraman.2023.102372&partnerID=40&md5=3a0b4f780bdc703b4f21900be531c791","The application of electrified propulsion systems is expected to facilitate the future operation of small aircraft in urban and suburban areas. However, in addition to the safe design of vehicles, efficient operation must also be achieved by matching passenger requests to unoccupied and suitable vehicles. In the agent-based transportation simulation MATSim (Multi-Agent Transport Simulation), a rule-based approach has been followed by assigning the nearest available vehicle to each passenger request. Sophisticated considerations such as pooling multiple passengers with identical trip requests in terms of time and location or the urgency of a request were only partially considered or not considered at all. To decrease operating costs, especially by reducing the number of passenger flights and avoiding relocation flights, appropriate dispatching is essential for efficient assignment of available vehicles to trip requests. For this purpose, the suitability of the Bipartite Matching Dispatcher (BMD), already proven for ground-based on-demand mobility concepts, was investigated for application to UAM systems by demonstrating its performance on an existing data set using a mock-up simulation and comparing it to the initial dispatcher in MATSim. Studies have not only shown the similarity between UAM and ground-based on-demand operations, but also the compatibility of BMD for high load traffic scenarios with undersized fleets. Insights on the impact of available information, for example, the prioritization of early-submitted requests over urgent requests, on the operator's point of view can be concluded. For an efficient vehicle assignment, the consideration of passengers’ attitude towards possible comfort restrictions due to longer waiting times and incentives through price adjustments is of crucial importance. © 2023 Elsevier Ltd","Dispatching; Transportation simulation; Urban air mobility; Vehicle assignment"
