Country,count
United States,454
China,90
Germany,90
Spain,70
South Korea,69
United Kingdom,43
Italy,41
Mexico,37
France,30
Canada,25
India,23
Netherlands,17
Brazil,14
Russian Federation,14
Australia,13
Japan,13
Switzerland,13
Finland,11
Hong Kong,9
Turkey,9
Czech Republic,8
Iran,8
Malaysia,8
Singapore,8
Sweden,7
Pakistan,6
Poland,6
Portugal,6
United Arab Emirates,5
Belgium,4
Denmark,4
Greece,4
Argentina,3
Austria,3
Egypt,3
Hungary,3
Israel,3
Slovenia,3
Ukraine,3
Algeria,2
Chile,2
Colombia,2
Croatia,2
Indonesia,2
Ireland,2
Kuwait,2
Norway,2
Saudi Arabia,2
Sierra Leone,2
Slovakia,2
Taiwan,2
Tunisia,2
Bangladesh,1
Ecuador,1
Estonia,1
New Zealand,1
Nigeria,1
Oman,1
Philippines,1
Serbia,1
South Africa,1
Thailand,1
Uruguay,1
Venezeula,1
Undefined,21
